timestamp,open,high,low,close,volume,Stock Code,{
2005-05-31,21.9,25.55,21.54,25.55,11800.0,JHX,
2005-04-29,23.0,23.5,21.66,21.85,20500.0,JHX,
2005-03-31,23.8,25.15,22.6,23.04,21100.0,JHX,
2005-02-28,26.5,26.76,23.3,23.8,23200.0,JHX,
2005-01-31,26.0,27.21,24.92,26.63,25400.0,JHX,
2004-12-31,22.35,26.07,21.87,26.05,53100.0,JHX,
2004-11-30,23.22,26.52,22.35,22.35,61100.0,JHX,
2004-10-29,20.6,23.36,20.5,23.17,37600.0,JHX,
2004-09-30,19.4,21.4,18.4,20.64,49400.0,JHX,
2004-08-31,20.2,20.56,18.1,19.21,44100.0,JHX,
2004-07-30,20.68,22.26,19.71,20.13,26900.0,JHX,
2004-06-30,21.66,21.66,18.82,20.68,43900.0,JHX,
2004-05-28,24.0,24.71,21.3,21.69,14600.0,JHX,
2004-04-30,24.73,25.05,23.25,23.85,20200.0,JHX,
2004-03-31,26.0,26.4,23.6,24.73,31800.0,JHX,
2004-02-27,25.3,27.6,25.0,25.9,21200.0,JHX,
2004-01-30,25.7,25.9,24.45,25.03,32500.0,JHX,
2003-12-31,26.02,26.15,24.4,25.7,40800.0,JHX,
2003-11-28,25.8,27.3,25.35,26.03,55000.0,JHX,
2003-10-31,25.2,28.5,24.4,25.9,299400.0,JHX,
2003-09-30,23.7,25.85,23.2,25.35,46300.0,JHX,
2003-08-29,24.0,25.7,23.99,24.0,27600.0,JHX,
2003-07-31,23.6,24.5,22.5,23.7,22200.0,JHX,
2003-06-30,21.8,23.95,21.7,23.6,27900.0,JHX,
2003-05-30,19.85,22.9,19.8,22.3,22700.0,JHX,
2003-04-30,17.75,19.7,17.75,19.65,5100.0,JHX,
2003-03-31,19.15,19.15,17.65,17.75,13000.0,JHX,
2003-02-28,19.4,20.0,19.0,19.15,23600.0,JHX,
2003-01-31,19.0,19.65,18.65,19.4,10000.0,JHX,
2002-12-31,18.8,18.85,17.55,18.85,5700.0,JHX,
2002-11-29,17.25,18.05,17.25,17.8,10000.0,JHX,
2002-10-31,17.6,18.5,15.55,17.25,17000.0,JHX,
2002-09-30,18.4,18.4,16.43,17.6,10700.0,JHX,
2002-08-30,16.25,18.5,15.25,18.5,16000.0,JHX,
2002-07-31,18.45,18.7,15.55,16.25,23500.0,JHX,
2002-06-28,17.25,18.86,17.25,18.31,19800.0,JHX,
2002-05-31,16.65,17.75,16.46,17.25,12100.0,JHX,
2002-04-30,17.1,17.45,16.6,16.65,6800.0,JHX,
2002-03-28,15.15,17.95,15.15,16.9,15300.0,JHX,
2002-02-28,16.4,16.4,14.85,14.85,4900.0,JHX,
2002-01-31,15.6,16.4,15.35,16.4,12600.0,JHX,
2001-12-31,13.25,15.39,13.25,15.39,3600.0,JHX,
2001-11-30,11.4,13.89,11.1,13.5,2500.0,JHX,
2001-10-31,13.48,14.24,11.4,11.75,2600.0,JHX,
2001-09-28,16.16,16.88,12.4,13.08,1900.0,JHX,
2001-08-31,17.24,18.4,17.24,17.8,2600.0,JHX,
2001-07-31,15.88,18.4,15.88,17.8,3900.0,JHX,
2001-06-29,14.56,15.88,14.56,15.72,6300.0,JHX,
2001-05-31,13.8,17.24,13.48,14.56,2200.0,JHX,
2001-04-30,12.32,13.88,12.16,13.8,5700.0,JHX,
2001-03-30,11.64,13.08,10.88,13.08,7400.0,JHX,
2001-02-28,11.24,12.72,11.24,11.64,3600.0,JHX,
2001-01-31,11.56,13.08,11.08,11.24,4000.0,JHX,
2000-12-29,10.88,11.56,10.48,11.56,700.0,JHX,
2000-11-30,12.08,12.08,10.08,10.88,2200.0,JHX,
2000-10-31,12.56,13.16,10.48,12.08,4700.0,JHX,
2000-09-29,12.24,12.56,10.88,10.88,600.0,JHX,
2000-08-31,15.0,16.32,12.24,12.24,6100.0,JHX,
2000-07-31,15.72,15.72,14.56,15.0,1900.0,JHX,
2000-06-30,13.48,16.08,13.48,16.08,600.0,JHX,
2000-05-31,14.24,14.24,13.08,13.48,600.0,JHX,
2000-04-28,13.08,15.0,13.08,14.24,100.0,JHX,
2000-03-31,12.32,14.24,12.0,13.88,1000.0,JHX,
2000-02-29,15.72,15.72,11.56,12.32,3000.0,JHX,
2023-09-11,2.74,2.76,2.7,2.73,1201474.0,MIN,
2023-08-31,2.78,2.79,2.69,2.75,4068113.0,MIN,
2023-07-31,2.77,2.83,2.7,2.79,5379911.0,MIN,
2023-06-30,2.77,2.88,2.74,2.74,6499388.0,MIN,
2023-05-31,2.77,2.87,2.73,2.78,5359782.0,MIN,
2023-04-28,2.77,2.82,2.74,2.79,3437399.0,MIN,
2023-03-31,2.84,2.9,2.735,2.77,7544012.0,MIN,
2023-02-28,2.92,2.96,2.78,2.83,3578691.0,MIN,
2023-01-31,2.77,2.97,2.76,2.94,5728123.0,MIN,
